time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:25:02.593935,25.888244924210813,24.495435289742556,2.630028158825373,3.344894107357211,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:04.596494,25.925376088720594,24.637639354512096,2.749439187977232,3.36190400866157,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:05.607126,25.53869290129772,25.019900861888065,3.040098874627678,3.2097444342658723,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:07.606671,24.837855349915426,25.15258447664014,3.1325582669496894,2.9482190870101914,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:10.612155,25.34204614478297,24.372824761266184,2.558815221406201,3.1559495608495776,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:11.639183,25.7921643423224,24.133340520522133,2.3872825582288333,3.3321728985320846,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:13.628167,25.076322654210294,24.845380701776897,2.9438021823100864,3.0584834782331,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:15.742589,24.355130713654436,25.57930838758429,3.4979620489074175,2.785886939234147,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:17.755507,24.47707996693688,25.69538788948918,3.5685433987986235,2.8242639172809505,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:20.757289,25.889872412449016,24.921438109319617,2.961100483745097,3.344427898910287,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:22.759253,25.979377873729746,25.0333865663504,3.0411359608877118,3.3731641618889676,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:23.766183,25.607421604604934,25.406700666213798,3.31792133241793,3.2291145618722723,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:25.770440,24.891781668919013,24.89311955066454,2.92168495207203,2.952009717973508,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:26.779401,24.52118775268584,24.644610733834295,2.7401079253450646,2.8130072378294084,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:28.810462,25.39306194360115,25.332376905861917,3.2691203402432065,3.152823401418226,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:30.864356,25.5604974666278,25.486366422224176,3.3612432015857103,3.2017733885235673,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:33.906245,24.424135715921825,24.681449958844308,2.7513503677553226,2.7777709309628023,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:35.871328,24.467323468275197,24.744954590851012,2.828996423200593,2.81025816607371,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:36.876665,24.955712171894938,25.125722698226912,3.1232605542761323,3.0103418550092376,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:38.877712,25.85590420009191,25.241391709982313,3.1969143647274727,3.3253243041183813,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:39.884131,26.30493177005167,24.99575552810032,3.0024782867269395,3.4891033542276713,0.0,0.21222359498391796,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:41.899068,25.61129772624559,24.611638326083302,2.7096414224806433,3.2270652751641022,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
